epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
104,6620.23,1.04766,0.71397,0.0067,0.91951,0.87597,0.9379,0.66418,1.03138,0.45348,0.00821,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,6934.43,1.04799,0.7172,0.0067,0.92233,0.87488,0.93823,0.66476,1.03098,0.45135,0.00822,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,7248.95,1.0431,0.71004,0.0066,0.92219,0.87598,0.93847,0.66573,1.03045,0.45178,0.00821,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,7562.69,1.03991,0.70293,0.00659,0.92141,0.87717,0.93857,0.66574,1.03007,0.45277,0.0082,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,7878.33,1.03956,0.70005,0.00665,0.92023,0.87904,0.93858,0.66604,1.02913,0.45294,0.00819,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,8191.85,1.04539,0.7058,0.00661,0.92282,0.87817,0.93866,0.6666,1.0288,0.451,0.00819,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,8505.99,1.03798,0.70372,0.00661,0.92175,0.87919,0.93888,0.66667,1.02831,0.45194,0.00818,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,8820.88,1.03457,0.70478,0.00659,0.92315,0.87702,0.93928,0.66718,1.02784,0.45227,0.00818,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,9135.85,1.03529,0.70891,0.00661,0.92326,0.87894,0.93941,0.66714,1.02696,0.45183,0.00817,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,9449.83,1.03079,0.69458,0.00655,0.92129,0.87991,0.9394,0.66723,1.02626,0.4512,0.00817,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
