epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
125,15676.9,1.18384,0.82919,0.0131,0.90281,0.8433,0.90897,0.63537,1.11621,0.61151,0.01718,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,15793.5,1.19756,0.83821,0.01348,0.89221,0.85178,0.90863,0.63442,1.11478,0.61612,0.01714,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,15910.9,1.18488,0.8369,0.01333,0.90049,0.84429,0.90879,0.63445,1.11363,0.61652,0.01707,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,16028.9,1.17585,0.82418,0.01319,0.90211,0.84832,0.90995,0.63652,1.11313,0.61379,0.01708,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,16146.7,1.18591,0.83175,0.01328,0.89992,0.84956,0.91146,0.63723,1.11172,0.61229,0.01707,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,16263.4,1.19458,0.83121,0.01341,0.90311,0.84803,0.91114,0.63832,1.11047,0.61126,0.01705,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,16380.9,1.19431,0.83023,0.01329,0.90636,0.84615,0.91143,0.63914,1.11202,0.60813,0.01706,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,16496.6,1.17089,0.81918,0.01312,0.91293,0.84144,0.91166,0.63798,1.10906,0.61123,0.01699,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,16615.1,1.17487,0.80852,0.01297,0.9072,0.84605,0.91191,0.63942,1.10979,0.60993,0.017,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,16730.4,1.18241,0.82391,0.01335,0.91012,0.84207,0.91206,0.63997,1.10864,0.60877,0.01696,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
